snapped_at,price,market_cap,total_volume
2014-08-06 00:00:00 UTC,0.002661,963158.1305,30984
2014-08-07 00:00:00 UTC,0.002511,1083468.628,145079
2014-08-08 00:00:00 UTC,0.003041,1329937.712,91826
2014-08-09 00:00:00 UTC,0.003504,1655791.198,234162
2014-08-10 00:00:00 UTC,0.00509,2578554.553,339479
2014-08-11 00:00:00 UTC,0.003687,2326769.285,491279
2014-08-12 00:00:00 UTC,0.00268,2277816.889,347401
2014-08-13 00:00:00 UTC,0.00277,2583670.202,257077
2014-08-14 00:00:00 UTC,0.00255,2494621.905,171349
2014-08-15 00:00:00 UTC,0.002419,2446777.74,137210
2014-08-16 00:00:00 UTC,0.002504,2572412.16,115892
2014-08-17 00:00:00 UTC,0.002325,2409423.249,62610
2014-08-18 00:00:00 UTC,0.002008,2094608.152,103416
2014-08-19 00:00:00 UTC,0.002205,2300105.068,66825
2014-08-20 00:00:00 UTC,0.002505,2613044.533,95949
2014-08-21 00:00:00 UTC,0.002396,2499343.194,79282
2014-08-22 00:00:00 UTC,0.002358,2459704.195,52090
2014-08-23 00:00:00 UTC,0.002235,2331399.014,43743
2014-08-24 00:00:00 UTC,0.00221,2305320.726,37923
2014-08-25 00:00:00 UTC,0.002218,2313665.778,38909
2014-08-26 00:00:00 UTC,0.002304,2403375.091,97172
2014-08-27 00:00:00 UTC,0.002273,2371038.013,62153
2014-08-28 00:00:00 UTC,0.002183,2277156.174,90850
2014-08-29 00:00:00 UTC,0.002213,2308450.12,43086
2014-08-30 00:00:00 UTC,0.002202,2296975.673,39151
2014-08-31 00:00:00 UTC,0.002074,2163454.835,23014
2014-09-01 00:00:00 UTC,0.002014,2100866.942,27846
2014-09-02 00:00:00 UTC,0.002004,2090435.626,23937
2014-09-03 00:00:00 UTC,0.002058,2295023.719,35803
2014-09-04 00:00:00 UTC,0.002134,2390273.981,57665
2014-09-05 00:00:00 UTC,0.002081,2340997.123,27569
2014-09-06 00:00:00 UTC,0.002058,2325924.846,31792
2014-09-07 00:00:00 UTC,0.002052,2330896.195,34903
2014-09-08 00:00:00 UTC,0.002082,2377004.097,99159
2014-09-09 00:00:00 UTC,0.002187,2510463.697,56761
2014-09-10 00:00:00 UTC,0.002207,2547933.222,55338
2014-09-11 00:00:00 UTC,0.002601,3018905.531,117090
2014-09-12 00:00:00 UTC,0.002982,3480627.079,116201
2014-09-13 00:00:00 UTC,0.003129,3673768.209,110270
2014-09-14 00:00:00 UTC,0.002747,3240547.859,85847
2014-09-15 00:00:00 UTC,0.002893,3436869.897,74745
2014-09-16 00:00:00 UTC,0.003022,3608111.007,85537
2014-09-17 00:00:00 UTC,0.003091,3709630.19,119486
2014-09-18 00:00:00 UTC,0.003402,4089851.486,200908
2014-09-19 00:00:00 UTC,0.003912,4731157.543,192576
2014-09-20 00:00:00 UTC,0.003518,4261938.707,193491
2014-09-21 00:00:00 UTC,0.003578037,4369852.682,133992.6209
2014-09-22 00:00:00 UTC,0.003989838,4882567.203,157942.3864
2014-09-23 00:00:00 UTC,0.003925931,4810929.016,98227.12115
2014-09-24 00:00:00 UTC,0.003762402,4657638.478,154548.2839
2014-09-25 00:00:00 UTC,0.00350534,4384446.497,70478.10074
2014-09-26 00:00:00 UTC,0.003033996,3816622.028,109083.1659
2014-09-27 00:00:00 UTC,0.003242433,4103246.692,41092.27585
2014-09-28 00:00:00 UTC,0.003162641,4029547.975,74140.90408
2014-09-29 00:00:00 UTC,0.003198102,4093662.38,31330.85104
2014-09-30 00:00:00 UTC,0.003221666,4149257.951,19132.33227
2014-10-01 00:00:00 UTC,0.002846567,3690840.62,66183.7704
2014-10-02 00:00:00 UTC,0.002725435,3559517.207,27284.06306
2014-10-03 00:00:00 UTC,0.002574168,3394633.903,29735.71024
2014-10-04 00:00:00 UTC,0.002372559,3141479.701,43077.76605
2014-10-05 00:00:00 UTC,0.00243247,3220802.435,24761.79845
2014-10-06 00:00:00 UTC,0.002556682,3385269.514,32850.27185
2014-10-07 00:00:00 UTC,0.002424781,3225343.599,32687.7591
2014-10-08 00:00:00 UTC,0.002461635,3298813.988,23591.59588
2014-10-09 00:00:00 UTC,0.002406126,3252396.284,6111.549554
2014-10-10 00:00:00 UTC,0.002247111,3064758.629,5126.131512
2014-10-11 00:00:00 UTC,0.002295491,3156846.432,16916.3689
2014-10-12 00:00:00 UTC,0.002230511,3083904.895,65563.5825
2014-10-13 00:00:00 UTC,0.002301946,3198476.173,34511.30534
2014-10-14 00:00:00 UTC,0.002332437,3261456.927,21012.03015
2014-10-15 00:00:00 UTC,0.002162672,3040394.912,28053.76679
2014-10-16 00:00:00 UTC,0.002069239,2927141.297,30251.89742
2014-10-17 00:00:00 UTC,0.001995396,2837692.325,18834.67443
2014-10-18 00:00:00 UTC,0.002045135,2923120.527,18707.67193
2014-10-19 00:00:00 UTC,0.002013665,2893793.616,13065.99031
2014-10-20 00:00:00 UTC,0.002008289,2900061.101,30575.73748
2014-10-21 00:00:00 UTC,0.0020546,2978729.4,20474.02536
2014-10-22 00:00:00 UTC,0.002024881,2957396.992,12169.08376
2014-10-23 00:00:00 UTC,0.001906897,2793144.609,11855.41666
2014-10-24 00:00:00 UTC,0.001937243,2843306.514,26359.24047
2014-10-25 00:00:00 UTC,0.001889454,2780907.066,9629.161829
2014-10-26 00:00:00 UTC,0.001901144,2800909.59,4894.573362
2014-10-27 00:00:00 UTC,0.001944418,2871294.211,9415.044739
2014-10-28 00:00:00 UTC,0.001551894,2297854.721,54886.24576
2014-10-29 00:00:00 UTC,0.001624352,2412367.412,17995.28504
2014-10-30 00:00:00 UTC,0.0017307,2572833.097,6472.793828
2014-10-31 00:00:00 UTC,0.001656703,2465046.001,3232.932947
2014-11-01 00:00:00 UTC,0.001602969,2386295.566,3265.856979
2014-11-02 00:00:00 UTC,0.001595385,2377130.783,2888.844984
2014-11-03 00:00:00 UTC,0.001706374,2544926.199,3190.937012
2014-11-04 00:00:00 UTC,0.001658322,2475872.96,2372.009615
2014-11-05 00:00:00 UTC,0.001735,2593818.656,1922.069747
2014-11-06 00:00:00 UTC,0.001740992,2607749.263,1831.915615
2014-11-07 00:00:00 UTC,0.001681472,2523944.979,813.7420761
2014-11-08 00:00:00 UTC,0.001717404,6017203.243,1269.168794
2014-11-09 00:00:00 UTC,0.001820133,6382738.846,2756.700058
2014-11-10 00:00:00 UTC,0.001754017,6156826.071,1958.268431
2014-11-11 00:00:00 UTC,0.00173052,6080536.128,1525.87264
2014-11-12 00:00:00 UTC,0.001877723,6601709.676,3470.587752
2014-11-13 00:00:00 UTC,0.001784334,6276882.383,9612.234744
2014-11-14 00:00:00 UTC,0.001726533,6078551.005,2917.876132
2014-11-15 00:00:00 UTC,0.001565578,5514656.807,1410.102804
2014-11-16 00:00:00 UTC,0.001646688,5803634.477,734.7394925
2014-11-17 00:00:00 UTC,0.001571665,5542455.653,920.5610327
2014-11-18 00:00:00 UTC,0.001482004,5230969.477,2523.869371
2014-11-19 00:00:00 UTC,0.001512039,5344040.05,5149.470769
2014-11-20 00:00:00 UTC,0.001509523,5339019.892,3535.829968
2014-11-21 00:00:00 UTC,0.001520943,5383530.024,2621.394029
2014-11-22 00:00:00 UTC,0.001826262,6465500.605,9431.783253
2014-11-23 00:00:00 UTC,0.002142337,7585587.155,26134.79487
2014-11-24 00:00:00 UTC,0.001949043,6902360.394,4843.488447
2014-11-25 00:00:00 UTC,0.001913384,6776559.442,6875.97762
2014-11-26 00:00:00 UTC,0.002023344,7166266.302,7609.4122
2014-11-27 00:00:00 UTC,0.002963377,10496643.24,26479.37421
2014-11-28 00:00:00 UTC,0.002797613,9910976.013,19489.3158
2014-11-29 00:00:00 UTC,0.002485144,8804686.953,4388.754064
2014-11-30 00:00:00 UTC,0.00207586,7355196.705,2598.508175
2014-12-01 00:00:00 UTC,0.002557756,9063212.486,2921.265856
2014-12-02 00:00:00 UTC,0.002315558,8205543.161,3546.339155
2014-12-03 00:00:00 UTC,0.002311473,8191629.551,5273.627383
2014-12-04 00:00:00 UTC,0.002380047,8435101.791,9202.549977
2014-12-05 00:00:00 UTC,0.002320089,8223319.544,8948.45528
2014-12-06 00:00:00 UTC,0.002304127,8167658.231,7672.218239
2014-12-07 00:00:00 UTC,0.002326101,8246327.031,8655.413601
2014-12-08 00:00:00 UTC,0.002456616,8709995.211,8064.434801
2014-12-09 00:00:00 UTC,0.002325271,8245084.189,5184.698606
2014-12-10 00:00:00 UTC,0.002384109,8454849.619,5146.261705
2014-12-11 00:00:00 UTC,0.002428363,8612476.133,7822.17426
2014-12-12 00:00:00 UTC,0.002499151,8865114.562,7102.213723
2014-12-13 00:00:00 UTC,0.00246864,8757634.49,3466.541263
2014-12-14 00:00:00 UTC,0.002527027,8966126.054,3615.800241
2014-12-15 00:00:00 UTC,0.002488492,8830515.476,4959.531081
2014-12-16 00:00:00 UTC,0.003287827,11668127.06,27606.62387
2014-12-17 00:00:00 UTC,0.003847969,13658335.95,70946.90208
2014-12-18 00:00:00 UTC,0.005945904,21110114.89,186936.3164
2014-12-19 00:00:00 UTC,0.006119157,21730387.53,293107.8443
2014-12-20 00:00:00 UTC,0.00573409,20364273.8,132365.0537
2014-12-21 00:00:00 UTC,0.00569729,20233580.81,91153.85903
2014-12-22 00:00:00 UTC,0.005905981,20981234.66,68000.8253
2014-12-23 00:00:00 UTC,0.005470834,19437620.22,47536.14922
2014-12-24 00:00:00 UTC,0.004934629,17534323.71,49568.28073
2014-12-25 00:00:00 UTC,0.005808606,20642388.43,70996.33531
2014-12-26 00:00:00 UTC,0.006039112,21464432.13,46221.14355
2014-12-27 00:00:00 UTC,0.005425466,19285447.7,40471.3921
2014-12-28 00:00:00 UTC,0.005629271,20012030.65,42180.29866
2014-12-29 00:00:00 UTC,0.005551442,19739298.12,27149.3427
2014-12-30 00:00:00 UTC,0.005286855,18801438.23,36979.01191
2014-12-31 00:00:00 UTC,0.005416556,19265308.16,10734.36257
2015-01-01 00:00:00 UTC,0.005497919,19557193.89,8877.13699
2015-01-02 00:00:00 UTC,0.005520312,19640112.32,26555.17938
2015-01-03 00:00:00 UTC,0.004678741,16648952.45,49017.11213
2015-01-04 00:00:00 UTC,0.004408245,15689180.97,38526.52098
2015-01-05 00:00:00 UTC,0.005061403,18017187.72,42027.66962
2015-01-06 00:00:00 UTC,0.004923061,17528350.72,26890.66466
2015-01-07 00:00:00 UTC,0.005186963,18472228.42,16859.98592
2015-01-08 00:00:00 UTC,0.005559583,19803737.8,57502.06403
2015-01-09 00:00:00 UTC,0.005722164,20387100.88,31084.30298
2015-01-10 00:00:00 UTC,0.005301377,18892725.48,37901.95254
2015-01-11 00:00:00 UTC,0.005009382,17856233.52,9654.316003
2015-01-12 00:00:00 UTC,0.004870028,17363744.73,16593.19608
2015-01-13 00:00:00 UTC,0.004126479,14715703.55,35928.63506
2015-01-14 00:00:00 UTC,0.004395873,15680852.13,71661.67772
2015-01-15 00:00:00 UTC,0.004927477,17582561.65,65292.39897
2015-01-16 00:00:00 UTC,0.004243092,15144943.2,34509.43408
2015-01-17 00:00:00 UTC,0.004774633,17046882.03,16692.86676
2015-01-18 00:00:00 UTC,0.004806599,17165592.08,27029.47781
2015-01-19 00:00:00 UTC,0.00488396,17447636.26,25172.19896
2015-01-20 00:00:00 UTC,0.004682745,16734851.52,14424.50672
2015-01-21 00:00:00 UTC,0.005121773,18311337.93,22987.33379
2015-01-22 00:00:00 UTC,0.004820434,17238970.9,22059.42558
2015-01-23 00:00:00 UTC,0.004982292,17826719.6,16654.80829
2015-01-24 00:00:00 UTC,0.005043644,18054133.5,38774.88923
2015-01-25 00:00:00 UTC,0.004762732,17054611.51,32937.07023
2015-01-26 00:00:00 UTC,0.004448928,15938194.25,62887.49151
2015-01-27 00:00:00 UTC,0.004382787,15703230.84,38736.73172
2015-01-29 00:00:00 UTC,0.004233836,15186643.72,31906.43622
2015-01-30 00:00:00 UTC,0.004221134,15147058.14,9195.709793
2015-01-31 00:00:00 UTC,0.003939854,14142850.16,9911.600049
2015-02-01 00:00:00 UTC,0.00384865,13820517.56,36549.3348
2015-02-02 00:00:00 UTC,0.003898739,14005746.39,15379.65697
2015-02-03 00:00:00 UTC,0.003694576,13276711.83,18902.46947
2015-02-04 00:00:00 UTC,0.003736943,13431159.17,18966.31364
2015-02-05 00:00:00 UTC,0.003909205,14055962.87,23736.45089
2015-02-06 00:00:00 UTC,0.003850919,13853030.62,15840.95072
2015-02-07 00:00:00 UTC,0.003846458,13842843.05,7738.860112
2015-02-08 00:00:00 UTC,0.003724891,13408183.88,9959.77441
2015-02-09 00:00:00 UTC,0.003647621,13132647.1,9148.194855
2015-02-10 00:00:00 UTC,0.003597028,12955860.39,12111.49725
2015-02-11 00:00:00 UTC,0.003528932,12715617.79,10852.46541
2015-02-12 00:00:00 UTC,0.003478666,12539688.37,11791.0048
2015-02-13 00:00:00 UTC,0.003662575,13208384.09,8670.505401
2015-02-14 00:00:00 UTC,0.003777753,13628327.04,15920.14299
2015-02-15 00:00:00 UTC,0.003214089,11597673.54,16077.53275
2015-02-16 00:00:00 UTC,0.003332984,12028362.1,11116.8808
2015-02-17 00:00:00 UTC,0.003338228,12049612.41,6787.381875
2015-02-18 00:00:00 UTC,0.003121445,11269060.17,5589.28944
2015-02-19 00:00:00 UTC,0.003216696,11613909.49,4435.066896
2015-02-20 00:00:00 UTC,0.003237538,11690770.05,2227.415617
2015-02-21 00:00:00 UTC,0.003188085,11513937.98,2761.352836
2015-02-22 00:00:00 UTC,0.003166598,11437535.33,6520.297996
2015-02-23 00:00:00 UTC,0.003106902,11223255.32,4563.30742
2015-02-24 00:00:00 UTC,0.003106635,11224147.22,5032.017416
2015-02-25 00:00:00 UTC,0.003152198,11390962.16,7235.189301
2015-02-26 00:00:00 UTC,0.003072324,11104586.18,4684.056584
2015-02-27 00:00:00 UTC,0.003109321,11241062.36,14978.68566
2015-02-28 00:00:00 UTC,0.003040514,10995472.66,4717.577099
2015-03-01 00:00:00 UTC,0.001308602,4733783.698,7278.657342
2015-03-02 00:00:00 UTC,0.00250348,9059721.193,12518.21503
2015-03-03 00:00:00 UTC,0.0021421,7755285.329,14853.86733
2015-03-04 00:00:00 UTC,0.000747009,2705512.243,13010.87931
2015-03-05 00:00:00 UTC,0.000476123,1725111.128,14537.99844
2015-03-06 00:00:00 UTC,0.002436936,8833427.018,14670.34569
2015-03-07 00:00:00 UTC,0.001668035,6049037.585,5866.253998
2015-03-08 00:00:00 UTC,0.002299209,8338282.912,6875.896363
2015-03-09 00:00:00 UTC,0.002156467,7826864.776,13715.04676
2015-03-10 00:00:00 UTC,0.00254645,9246398.879,11916.85188
2015-03-11 00:00:00 UTC,0.002833824,10290904.44,13313.42058
2015-03-12 00:00:00 UTC,0.003095225,11245468.2,12292.77491
2015-03-13 00:00:00 UTC,0.002434497,8847579.615,6908.494137
2015-03-14 00:00:00 UTC,0.002937997,10680027.54,9661.30981
2015-03-15 00:00:00 UTC,0.001266663,4606088.574,3236.655982
2015-03-16 00:00:00 UTC,0.00250621,9116807.89,20557.69295
2015-03-17 00:00:00 UTC,0.002123434,7727447.732,4953.651085
2015-03-18 00:00:00 UTC,0.002550828,9286742.509,8765.030467
2015-03-19 00:00:00 UTC,0.002554191,9302448.855,19293.23043
2015-03-20 00:00:00 UTC,0.002737983,11735917.92,7930.808524
2015-03-21 00:00:00 UTC,0.002911583,12484446.22,21139.81695
2015-03-22 00:00:00 UTC,0.002266901,9721646.938,32071.0989
2015-03-23 00:00:00 UTC,0.003203504,13741458.53,49453.06875
2015-03-24 00:00:00 UTC,0.002931393,12576778.41,11354.47386
2015-03-25 00:00:00 UTC,0.002908867,12482035.33,14338.04176
2015-03-26 00:00:00 UTC,0.002951781,12668435.38,10010.07426
2015-03-27 00:00:00 UTC,0.002973034,12762777.93,16408.22861
2015-03-28 00:00:00 UTC,0.002851311,12240578.05,21431.37269
2015-03-29 00:00:00 UTC,0.002299409,9871283.024,2694.750797
2015-03-30 00:00:00 UTC,0.002498128,10724374.59,22237.85335
2015-03-31 00:00:00 UTC,0.002790423,11979185.57,29729.85883
2015-04-01 00:00:00 UTC,0.002782474,11956846.07,9316.760704
2015-04-02 00:00:00 UTC,0.002522086,10840149.09,12453.62828
2015-04-03 00:00:00 UTC,0.002657399,11424275.3,8419.626854
2015-04-04 00:00:00 UTC,0.002682834,11535942.09,6568.936829
2015-04-05 00:00:00 UTC,0.00258388,11112875.82,9068.635385
2015-04-06 00:00:00 UTC,0.002547943,10960883.14,6686.873903
2015-04-07 00:00:00 UTC,0.002546896,10957978.15,19950.55938
2015-04-08 00:00:00 UTC,0.002686551,12905909.29,9891.014353
2015-04-09 00:00:00 UTC,0.002650978,12737072.29,7741.511594
2015-04-10 00:00:00 UTC,0.002608046,12533964.64,12765.63607
2015-04-11 00:00:00 UTC,0.002599365,12492241,16860.96278
2015-04-12 00:00:00 UTC,0.002665988,12812423.51,44581.47505
2015-04-13 00:00:00 UTC,0.002711625,13038956.85,7746.148328
2015-04-14 00:00:00 UTC,0.001964875,9450414.602,6009.266461
2015-04-15 00:00:00 UTC,0.00265132,12754739.43,4211.498233
2015-04-16 00:00:00 UTC,0.001349319,6492660.111,7435.092568
2015-04-17 00:00:00 UTC,0.002231765,10739590.61,5499.286701
2015-04-18 00:00:00 UTC,0.002775379,13356525.09,6112.706235
2015-04-19 00:00:00 UTC,0.002698878,12990245.65,4233.511922
2015-04-20 00:00:00 UTC,0.002710167,13047167.91,6870.18712
2015-04-21 00:00:00 UTC,0.002761021,13294478.73,13256.99246
2015-04-22 00:00:00 UTC,0.002703151,13018054.77,5922.135679
2015-04-23 00:00:00 UTC,0.002731063,13154505.46,8480.024203
2015-04-24 00:00:00 UTC,0.002712276,13065615.06,5179.744611
2015-04-25 00:00:00 UTC,0.0026501,12769082.11,5060.462202
2015-04-26 00:00:00 UTC,0.002620594,12629821.32,8134.317772
2015-04-27 00:00:00 UTC,0.002693215,12982438.98,12625.23563
2015-04-28 00:00:00 UTC,0.002621291,12637855.9,7973.866487
2015-04-29 00:00:00 UTC,0.002574631,12415189.14,13921.55599
2015-04-30 00:00:00 UTC,0.002777531,13394857.25,5355.325549
2015-05-01 00:00:00 UTC,0.00263134,12691822.97,4378.926527
2015-05-02 00:00:00 UTC,0.002703695,13043451.26,7699.304211
2015-05-03 00:00:00 UTC,0.002673673,12899786.28,4725.46319
2015-05-04 00:00:00 UTC,0.002646176,12769992.52,3325.942199
2015-05-05 00:00:00 UTC,0.002641505,12751105.44,5091.391256
2015-05-06 00:00:00 UTC,0.002549811,12308522.74,2740.127081
2015-05-07 00:00:00 UTC,0.00266497,12864419.98,16412.16965
2015-05-08 00:00:00 UTC,0.002908258,14038827.56,37381.19167
2015-05-09 00:00:00 UTC,0.002710824,13085768.06,9843.982107
2015-05-10 00:00:00 UTC,0.00264745,12779847.02,3620.443064
2015-05-11 00:00:00 UTC,0.002705053,13057913.4,6473.119279
2015-05-12 00:00:00 UTC,0.002791221,13473865.21,14840.8251
2015-05-13 00:00:00 UTC,0.002741347,13233113.51,12307.88356
